ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cjmad7z2cec870728oe5htdx4,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01251.jpg?alt=media&token=47e8b372-3a1d-497b-bb9b-e1d0aae6a588,"{""Cube"":[{""geometry"":[{""x"":105,""y"":35},{""x"":105,""y"":0},{""x"":175,""y"":0},{""x"":175,""y"":35}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435198000,3.489,01251.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad7z2cec870728oe5htdx4
cjmad83ameca40728taubeexy,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01252.jpg?alt=media&token=7cb97f2b-f0ee-4c8e-8949-14da05b06843,"{""Cube"":[{""geometry"":[{""x"":114,""y"":36},{""x"":114,""y"":2},{""x"":183,""y"":2},{""x"":183,""y"":36}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435204000,5.476,01252.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad83ameca40728taubeexy
cjmad86iyeccc07285rdxprjg,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01253.jpg?alt=media&token=d91124cc-3b89-4b0f-9c6d-ea03d700176b,"{""Cube"":[{""geometry"":[{""x"":85,""y"":50},{""x"":85,""y"":0},{""x"":152,""y"":0},{""x"":152,""y"":50}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435208000,3.934,01253.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad86iyeccc07285rdxprjg
cjmad89av4t770780obvzjqkz,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01254.jpg?alt=media&token=05ffb6b1-16f2-4a7c-8f1b-0544d50e258b,"{""Cube"":[{""geometry"":[{""x"":88,""y"":59},{""x"":88,""y"":0},{""x"":147,""y"":0},{""x"":147,""y"":59}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435211000,3.839,01254.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad89av4t770780obvzjqkz
cjmad8bm14t8b0780ncyggz39,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01255.jpg?alt=media&token=64209c5d-ff3a-4697-b57d-54ce8b82b01a,"{""Cube"":[{""geometry"":[{""x"":102,""y"":41},{""x"":102,""y"":0},{""x"":165,""y"":0},{""x"":165,""y"":41}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435214000,2.958,01255.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad8bm14t8b0780ncyggz39
cjmad8dma4t9a0780zqpb3f3q,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01256.jpg?alt=media&token=dd809740-a68e-43dc-a6b2-ae2998819301,"{""Cube"":[{""geometry"":[{""x"":102,""y"":46},{""x"":102,""y"":1},{""x"":172,""y"":1},{""x"":172,""y"":46}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435217000,2.571,01256.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad8dma4t9a0780zqpb3f3q
cjmad8irmecgp0728lao212tx,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01257.jpg?alt=media&token=f487c37f-4ba7-4f3f-9ef0-bdb77a8123e2,"{""Cube"":[{""geometry"":[{""x"":197,""y"":78},{""x"":115,""y"":78},{""x"":115,""y"":2},{""x"":197,""y"":2}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435224000,6.696,01257.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad8irmecgp0728lao212tx
cjmad8lr6eci30728x77rvi6x,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01258.jpg?alt=media&token=d0e39810-d6bf-49b3-99c9-897b67049a37,"{""Cube"":[{""geometry"":[{""x"":117,""y"":74},{""x"":117,""y"":1},{""x"":208,""y"":1},{""x"":208,""y"":74}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435227000,3.856,01258.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad8lr6eci30728x77rvi6x
cjmad8oce4tce0780idk0f0y2,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01259.jpg?alt=media&token=8ebf51b1-f7b8-4daa-bb13-36517c5eeb71,"{""Cube"":[{""geometry"":[{""x"":94,""y"":66},{""x"":94,""y"":0},{""x"":192,""y"":0},{""x"":192,""y"":66}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435231000,3.331,01259.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad8oce4tce0780idk0f0y2
cjmad8rti4tdt07803o7s7av8,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjmacxyase88h0728ibuxr243%2Fb7914739-caff-4df5-aacf-fe4ba3bdf3c6%2F01260.jpg?alt=media&token=3cf0b0a0-82c2-47ed-8fd4-570fbfce0e39,"{""Cube"":[{""geometry"":[{""x"":128,""y"":74},{""x"":128,""y"":1},{""x"":230,""y"":1},{""x"":230,""y"":74}]}]}",vatanaksoytezer@gmail.com,Explore the example project,1537435235000,4.482,01260.jpg,,Power-Cubes,[],https://image-segmentation-v4.labelbox.com?project=cjmacxybi4pxl0780cqk0o2n0&label=cjmad8rti4tdt07803o7s7av8
